lon,lat,Name,Address,Line
-77.06281243,38.88469464,Arlington|Cemetery,"1000 NORTH MEMORIAL DRIVE, ARLINGTON, VA",blue
-76.9960034,38.88463005,Eastern Market,"701 PENNSYLVANIA AVENUE SE, WASHINGTON, DC","blue, orange, silver"
-77.22716302,38.88363291,Dunn Loring Merrifield,"2700 GALLOWS ROAD, VIENNA, VA",orange
-77.1029796,38.88337393,Virginia Square-GMU,"3600 FAIRFAX DRIVE, ARLINGTON, VA","orange, silver"
-77.11317115,38.88219065,Ballston-MU,"4230 FAIRFAX DRIVE, ARLINGTON, VA","orange, silver"
-76.98549759,38.88127106,Potomac Ave,"700 14TH STREET SE, WASHINGTON, DC","blue, orange, silver"
-77.27262462,38.8776089,Vienna Fairfax-GMU,"2900 NUTLEY ST., FAIRFAX, VA",orange
-77.00508793,38.87648887,Navy Yard - Ballpark,"200 M STREET SE, WASHINGTON, DC",green
-77.01750749,38.87646965,Waterfront,"399 M STREET SW, WASHINGTON, DC",green
-77.05371797,38.86947048,Pentagon,"2 SOUTH ROTARY ROAD, ARLINGTON, VA","blue, yellow"
-76.99537301,38.8629709,Anacostia,"1101 HOWARD ROAD SE, WASHINGTON, DC",green
-77.05954122,38.86189016,Pentagon City,"1250 SOUTH HAYES ST., ARLINGTON, VA","blue, yellow"
-77.0502921,38.8579121,Crystal City,"1750 SOUTH CLARK ST., ARLINGTON, VA","blue, yellow"
-77.04404458,38.85342416,Ronald Reagan Washington National Airport,"2400 S. SMITH BLVD., ARLINGTON, VA","blue, yellow"
-76.95626497,38.85130916,Naylor Road,"3101 BRANCH AVENUE, TEMPLE HILLS, MD",green
-76.9885142,38.84566548,Congress Heights,"1290 ALABAMA AVENUE SE, WASHINGTON, DC",green
-76.93187241,38.84397233,Suitland,"4500 SILVER HILL ROAD, SUITLAND, MD",green
-76.97505641,38.84109356,Southern Ave,"1411 SOUTHERN AVENUE, TEMPLE HILLS, MD",green
-76.91146646,38.82645412,Branch Ave,"4704 OLD SOPER ROAD, SUITLAND, MD",green
-77.05366986,38.81415144,Braddock Road,"700 N. WEST ST., ALEXANDRIA, VA","blue, yellow"
-77.0608135,38.80659388,King St - Old Town,"1900 KING STREET, ALEXANDRIA, VA","blue, yellow"
-77.07087668,38.80043321,Eisenhower Ave,"2400 EISENHOWER AVENUE, ALEXANDRIA, VA",yellow
-77.12911384,38.79931543,Van Dorn Street,"5690 EISENHOWER AVENUE, ALEXANDRIA, VA",blue
-77.07520808,38.79392362,Huntington,"2701 HUNTINGTON AVENUE, ALEXANDRIA, VA",yellow
-77.1679725,38.76652965,Franconia-Springfield,"6880 FRONTIER DRIVE, SPRINGFIELD, VA","blue, yellow"
